,epoch,acc_train,acc_test
0,1,76.29097120893982,79.75800711743773
1,2,80.67546887789601,81.58007117437722
2,3,81.83565251432435,83.06049822064057
3,4,82.70045197337984,81.12455516014235
4,5,83.3232499377202,82.44839857651246
5,6,83.70404640734546,83.75800711743773
6,7,84.2129613153493,83.34519572953737
7,8,84.50478664721165,82.91814946619218
8,9,84.65781700416385,84.22775800711744
9,10,85.07064308338376,83.87188612099644
