,epoch,acc_train,acc_test
0,1,77.36574255311577,80.92526690391459
1,2,80.98508843731094,82.37722419928825
2,3,82.33389088579665,82.84697508896797
3,4,83.07057190647355,82.94661921708185
4,5,83.65066372468772,82.23487544483986
